Название криптовалюты,Номер в рейтинге,Ссылка на tlg,Веб-сайт
Elrond,Rank #44,https://t.me/ElrondNetwork,https://elrond.com/
EOS,Rank #45,-,https://eosnetwork.com/
OKB,Rank #46,https://t.me/okexofficial_en,https://www.okx.com/
TrueUSD,Rank #47,https://t.me/TUSDofficial_EN,https://tusd.io/
Bitcoin SV,Rank #48,-,https://bitcoinsv.com/
Zcash,Rank #49,https://t.me/Zcash_Community,https://z.cash/
Helium,Rank #50,https://t.me/helium_network,https://www.helium.com/
Maker,Rank #51,https://t.me/makerdaoOfficial,https://makerdao.com/
KuCoin Token,Rank #52,-,https://www.kucoin.com/
Fantom,Rank #53,https://t.me/Fantom_English,https://fantom.foundation/
IOTA,Rank #54,-,https://www.iota.org/
The Graph,Rank #55,https://t.me/GraphProtocol,https://thegraph.com
Chiliz,Rank #56,https://t.me/chiliz_io,https://www.chiliz.com/
THORChain,Rank #57,https://t.me/thorchain_org,https://thorchain.org/
Pax Dollar,Rank #58,-,https://www.paxos.com/usdp/
BitTorrent-New,Rank #59,https://t.me/BTTBitTorrent,https://bt.io/
eCash,Rank #60,https://t.me/ecash_official,https://e.cash/
Klaytn,Rank #61,https://t.me/Klaytn_EN,https://www.klaytn.foundation/
Neo,Rank #62,https://t.me/NEO_EN,https://neo.org/
Lido DAO,Rank #63,https://t.me/lidofinance,https://lido.fi/
Huobi Token,Rank #64,-,https://www.huobiwallet.com
USDD,Rank #65,https://t.me/usddio,https://usdd.io/
Curve DAO Token,Rank #66,https://t.me/curvefi,https://guides.curve.fi/everything-you-need-to-know-about-crv/
PancakeSwap,Rank #67,https://t.me/PancakeSwap,https://pancakeswap.finance/
Neutrino USD,Rank #68,https://t.me/neutrino_protocol_news,https://neutrino.at/
Basic Attention Token,Rank #69,https://t.me/batproject,https://basicattentiontoken.org/
Stacks,Rank #70,https://t.me/StacksChat,https://stacks.co
Waves,Rank #71,https://t.me/Wavescommunity,https://waves.tech/
Celsius,Rank #72,https://t.me/celsiusnetwork,https://celsius.network/
Enjin Coin,Rank #73,https://t.me/enjin,https://enjin.io/
Zilliqa,Rank #74,https://t.me/zilliqachat,https://www.zilliqa.com/
Loopring,Rank #75,https://t.me/loopring_en,https://loopring.org
PAX Gold,Rank #76,-,https://www.paxos.com/paxgold/
Dash,Rank #77,https://t.me/dash_chat,https://www.dash.org/
Mina,Rank #78,-,https://minaprotocol.com/
STEPN,Rank #79,https://t.me/STEPNofficial,https://www.stepn.com/
Kava,Rank #80,https://t.me/kavalabs,https://www.kava.io/
Bitcoin Gold,Rank #81,https://t.me/BitcoinGoldHQ,https://bitcoingold.org/
Nexo,Rank #82,https://t.me/nexofinance,http://nexo.io
Celo,Rank #83,https://t.me/celoplatform,https://celo.org/
Kusama,Rank #84,-,https://kusama.network/
Decred,Rank #85,https://t.me/Decred,https://decred.org/
NEM,Rank #86,-,http://nem.io
Oasis Network,Rank #87,https://t.me/oasisprotocolcommunity,https://oasisprotocol.org/
1inch Network,Rank #88,https://t.me/OneInchNetwork,https://1inch.io/
Arweave,Rank #89,-,https://www.arweave.org
Convex Finance,Rank #90,https://t.me/convexEthChat,https://www.convexfinance.com/
Trust Wallet Token,Rank #91,https://t.me/trust_announcements,https://trustwallet.com/
Gnosis,Rank #92,-,https://gnosis.io/
Ankr,Rank #93,https://t.me/ankrnetwork,https://www.ankr.com/
Compound,Rank #94,-,https://compound.finance/governance/comp
Synthetix,Rank #95,-,https://www.synthetix.io/
Holo,Rank #96,-,https://holochain.org/
Gala,Rank #97,https://t.me/GoGalaGames,https://gala.games/
XDC Network,Rank #98,https://t.me/xinfintech,https://www.xdc.org/
Qtum,Rank #99,https://t.me/qtumofficial,https://qtum.org/
yearn.finance,Rank #101,https://t.me/yearnfinance,https://yearn.finance/
yearn.finance,Rank #101,https://t.me/yearnfinance,https://yearn.finance/
Ravencoin,Rank #102,https://t.me/RavencoinDev,https://ravencoin.org/
Theta Fuel,Rank #103,-,https://www.thetatoken.org
Kadena,Rank #104,https://t.me/kadena_io,http://kadena.io/
GateToken,Rank #105,-,https://gatechain.io/
Harmony,Rank #106,https://t.me/harmony_one,https://www.harmony.one/
Optimism,Rank #107,-,https://www.optimism.io/
Amp,Rank #108,-,https://amptoken.org
IoTeX,Rank #109,https://t.me/IoTeXGroup,https://www.iotex.io/
BORA,Rank #110,https://t.me/BORAofficial_kr,https://boraecosystem.com
Reserve Rights,Rank #111,https://t.me/reservecurrency,https://reserve.org/
OMG Network,Rank #112,https://t.me/omgnetwork,https://omg.network/
ICON,Rank #113,-,https://icon.community
Audius,Rank #114,-,https://audius.co/
Gemini Dollar,Rank #115,-,https://gemini.com/dollar/
0x,Rank #116,-,https://0x.org/
Ethereum Name Service,Rank #117,-,https://ens.domains/
Balancer,Rank #118,-,https://balancer.finance/
Symbol,Rank #119,-,https://docs.symbol.dev/
JUST,Rank #120,https://t.me/just_defi,https://just.network/#/
Livepeer,Rank #121,https://t.me/livepeerorg,https://livepeer.org/
IOST,Rank #122,https://t.me/officialios,http://iost.io/
Kyber Network Crystal v2,Rank #123,https://t.me/officialkybernetwork,https://kyber.network/
Golem,Rank #124,-,https://golem.network/
Bitcoin Standard Hashrate Token,Rank #125,https://t.me/BTCST_Community_EN,https://www.btcst.finance/
TerraClassicUSD,Rank #126,https://t.me/TerraLunaChat,https://terra.money
Serum,Rank #127,https://t.me/ProjectSerum,https://projectserum.com/
Storj,Rank #128,-,https://storj.io/
WOO Network,Rank #130,https://t.me/woo_english,https://woo.org
Hive,Rank #129,https://t.me/hiveblockchain,https://hive.io/
Horizen,Rank #131,-,https://www.horizen.io/
Immutable X,Rank #132,-,https://www.immutable.com/
SKALE Network,Rank #133,https://t.me/skaleofficial,https://skale.network/
WAX,Rank #134,https://t.me/waxtokenannoucements,https://wax.io/
Siacoin,Rank #135,-,https://sia.tech/
Moonbeam,Rank #136,https://t.me/Moonbeam_Official,https://moonbeam.network/
Ontology,Rank #137,https://t.me/OntologyNetwork,https://ont.io/
SXP,Rank #138,https://t.me/Solar,https://solar.org
Flux,Rank #139,https://t.me/runonflux,https://runonflux.io/
UMA,Rank #140,-,https://umaproject.org/
Smooth Love Potion,Rank #141,-,https://axieinfinity.com/
Polymath,Rank #142,https://t.me/PolymathNetwork,https://www.polymath.network/
Secret,Rank #143,https://t.me/scrtcommunity,https://scrt.network
Casper,Rank #144,https://t.me/casperblockchain,https://casper.network/
DigiByte,Rank #145,https://t.me/DGBalerts,https://digibyte.org/
Chia,Rank #146,-,https://www.chia.net/
Braintrust,Rank #147,-,https://www.braintrust.com
SushiSwap,Rank #148,-,https://sushi.com/
SwissBorg,Rank #149,https://t.me/SwissBorgChat,https://swissborg.com/
PlayDapp,Rank #150,https://t.me/cryptodozer_io,https://playdapp.io
Celer Network,Rank #151,https://t.me/celernetwork,https://www.celer.network/#
CEEK VR,Rank #152,https://t.me/ceekmetaverse,https://www.ceek.io/
MXC,Rank #153,https://t.me/mxcfoundation,https://www.mxc.org/
Render Token,Rank #154,https://t.me/RenderTokenOfficial,https://rendertoken.com/
Dogelon Mars,Rank #155,https://t.me/DogelonMars,https://dogelonmars.com/
Ren,Rank #156,https://t.me/renprojectann,https://renproject.io/
APENFT,Rank #158,https://t.me/apenftEN,http://apenft.org/
Keep Network,Rank #157,https://t.me/KeepNetworkOfficial,https://keep.network
Civic,Rank #159,-,https://www.civic.com/
Nervos Network,Rank #160,https://talk.nervos.org/,http://nervos.org/
Lisk,Rank #161,-,https://Lisk.com/
Pundi X (New),Rank #164,https://t.me/pundix,https://pundix.com/
DAO Maker,Rank #164,https://t.me/daomaker_trading,https://daomaker.com/
ConstitutionDAO,Rank #164,-,https://www.constitutiondao.com/
MediBloc,Rank #165,https://t.me/medibloc,https://medibloc.com/en/
Acala Token,Rank #166,https://t.me/acalaofficial,https://acala.network/
dYdX,Rank #167,-,https://dydx.community
Nano,Rank #168,https://t.me/nanocurrency,http://nano.org/en
Spell Token,Rank #169,-,https://abracadabra.money/
Ontology Gas,Rank #170,https://t.me/OntologyNetworkCN,https://ont.io/
NuCypher,Rank #171,https://t.me/nucypher,https://nucypher.com
Orbs,Rank #172,https://t.me/OrbsNetwork,https://www.orbs.com/
Constellation,Rank #173,https://t.me/constellationcommunity,https://www.constellationnetwork.io
WINkLink,Rank #174,https://t.me/WINkLink_Oracle_official,https://winklink.org/
API3,Rank #175,https://t.me/API3DAO,https://api3.org/
Rally,Rank #176,-,https://rly.network/
Request,Rank #177,https://t.me/requestnetwork,https://request.network/
Ocean Protocol,Rank #178,https://t.me/oceanprotocol,https://oceanprotocol.com/
COTI,Rank #179,https://t.me/COTInetwork,https://coti.io/
Ellipsis,Rank #180,https://t.me/ellipsisfinance,https://www.ellipsis.finance/
Powerledger,Rank #181,https://t.me/powerledger,https://powerledger.io/
Conflux,Rank #182,https://t.me/Conflux_English,https://confluxnetwork.org/
Injective,Rank #183,https://t.me/joininjective,https://injective.com
Ardor,Rank #184,https://t.me/ardorplatform,https://www.jelurida.com/ardor
Bancor,Rank #185,https://telegram.me/bancor,https://bancor.network/
Function X,Rank #186,https://t.me/functionx,https://functionx.io/
Syscoin,Rank #187,https://t.me/Syscoin_Official,http://syscoin.org
Chromia,Rank #188,https://t.me/hellochromia,https://chromia.com/
MX TOKEN,Rank #189,https://t.me/MEXCofficialNews,https://www.mexc.com
Energy Web Token,Rank #187,https://t.me/energyweb,https://www.energyweb.org/
Numeraire,Rank #191,https://t.me/NMR_Official,https://numer.ai/
Dent,Rank #192,https://t.me/dentcoin,https://www.dentwireless.com/
Status,Rank #193,-,http://status.im/
Prom,Rank #194,https://t.me/prom_io,https://prom.io/
sUSD,Rank #195,-,https://www.synthetix.io/
Ultra,Rank #196,https://t.me/ultra_io,https://ultra.io/
JOE,Rank #197,-,https://www.traderjoexyz.com/#/home
Cartesi,Rank #198,https://t.me/cartesiproject,https://cartesi.io/
Telcoin,Rank #199,https://t.me/Telcoin_Announcements,https://www.telco.in/
Raydium,Rank #200,https://t.me/raydium,https://raydium.io/#/
HEX,Rank #201,https://t.me/HEXcrypto,https://hex.com/
Wrapped TRON,Rank #202,-,https://tron.network/
Lido Staked ETH,Rank #203,https://t.me/lidofinance,https://lido.fi/
yOUcash,Rank #204,https://t.me/YouEngineGroup,https://youengine.io
Bitcoin BEP2,Rank #205,-,https://bitcoin.org/en/
Chain,Rank #206,https://t.me/Chain,https://chain.com
Toncoin,Rank #207,https://t.me/tonblockchain,https://ton.org/
Frax,Rank #208,https://t.me/fraxfinance,https://frax.finance/#welcome
BitDAO,Rank #209,https://t.me/BitDAO_Official,https://www.bitdao.io/
Wrapped BNB,Rank #210,-,https://www.binance.org/
BitTorrent,Rank #211,https://t.me/BTTBitTorrent,https://www.bittorrent.com/btt/
Huobi BTC,Rank #212,https://t.me/huobiglobalofficial,https://www.hbtc.finance/en-us/
Terra Classic,Rank #213,https://terra.sc/classicdiscord,https://terra.money/
DeFiChain,Rank #214,https://t.me/defiblockchain,https://defichain.com/
Tether Gold,Rank #215,-,https://tether.to/
NXM,Rank #216,https://t.me/joinchat/K_g-fA-3CmFwXumCKQUXkw,https://nexusmutual.io/
Threshold,Rank #217,"https://t.me/thresholdnetwork, https://t.me/Threshold_unofficial",https://threshold.network/
WEMIX,Rank #218,https://t.me/WEMIX_KOR,http://wemix.com/
Osmosis,Rank #219,https://t.me/osmosis_chat,https://osmosis.zone/
GensoKishi Metaverse,Rank #220,-,https://genso.game/
Counos X,Rank #221,https://t.me/csccryptocurrency,https://www.counos.io/CounosX
Fruits,Rank #222,https://t.me/fruits_official,https://www.fruitsc.org/
LINK,Rank #223,-,https://blockchain.line.me/
Safe,Rank #224,https://t.me/safeanwang,https://www.anwang.com/
Rocket Pool,Rank #225,-,https://www.rocketpool.net/
BinaryX,Rank #226,https://t.me/binaryxGlobal,https://www.binaryx.pro/#/
Terra,Rank #227,https://terra.sc/discord,https://terra.money/
ZEON,Rank #228,-,https://zeon.network/
MetisDAO,Rank #229,https://t.me/MetisDAO,https://www.metis.io
Metaverse Dualchain Network Architecture,Rank #230,https://t.me/mvsdna,https://mvsdna.com
Liquity USD,Rank #231,-,https://www.liquity.org/
Astar,Rank #232,https://t.me/PlasmOfficial,https://astar.network/
Baby Doge Coin,Rank #232,https://t.me/babydogecoin,https://www.babydoge.com
LooksRare,Rank #234,-,https://looksrare.org/
VVS Finance,Rank #235,https://t.me/VVSFinance,https://vvs.finance/
Humanscape,Rank #236,https://t.me/Humanscape,https://humanscape.io/
HUSD,Rank #237,-,http://www.stcoins.com/
MaidSafeCoin,Rank #238,-,https://safenetwork.tech/
RadioCaca,Rank #239,https://t.me/RadioCaca,https://www.radiocaca.com/
Wrapped Everscale,Rank #240,https://t.me/everscale,https://everscale.network
Everscale,Rank #241,https://t.me/everscale,https://everscale.network
Uquid Coin,Rank #242,https://t.me/uquidcoinofficial,https://uquidcoin.com
Aurora,Rank #243,https://t.me/auroraisnear,https://aurora.dev/
MVL,Rank #244,https://t.me/mvlchain_kr,http://mvlchain.io
STASIS EURO,Rank #246,https://t.me/STASIS,https://stasis.net
Chainbing,Rank #245,https://t.me/ChainbingOfficial,https://www.chainbing.io
Metacraft,Rank #249,https://t.me/MetaCraftGame,https://www.metacraft.game/
Project Galaxy,Rank #248,-,https://galaxy.eco/
Anyswap,Rank #248,https://t.me/anyswap,https://anyswap.exchange/dashboard
inSure DeFi,Rank #250,https://t.me/insuredefi,https://insuretoken.net/
XYO,Rank #251,https://t.me/xyonetwork,https://xyo.network/
iExec RLC,Rank #252,https://t.me/iexec_rlc_official,https://iex.ec/
PlatonCoin,Rank #253,https://t.me/platonfinance_official,https://platonlife.com/
Vulcan Forged PYR,Rank #254,https://t.me/VeriArti,https://vulcanforged.com/
Centrifuge,Rank #255,https://t.me/centrifuge_chat,https://centrifuge.io/
ssv.network,Rank #257,-,https://ssv.network/
Orbit Chain,Rank #256,https://t.me/Orbit_Chain,https://orbitchain.io/
Frax Share,Rank #258,https://t.me/fraxfinance,https://frax.finance/#welcome
Biconomy,Rank #259,https://t.me/biconomy,https://biconomy.io
ABBC Coin,Rank #260,https://t.me/abbcfoundation,https://abbccoin.com/
Steem,Rank #261,-,https://steem.com/
LUKSO,Rank #262,https://t.me/LUKSO,https://lukso.network
Ergo,Rank #263,https://telegram.me/ergoplatform,https://ergoplatform.org/
Stratis,Rank #264,https://t.me/StratisPlatform,http://stratisplatform.com/
Adshares,Rank #265,https://t.me/adshares,https://adshares.net/
USDX [Kava],Rank #266,https://t.me/kavalabs,https://kava.io
Maple,Rank #268,https://t.me/maplefinance,https://maple.finance/
Venus USDC,Rank #269,https://t.me/VenusProtocol,https://app.venus.io/dashboard
Rari Governance Token,Rank #266,https://t.me/RariCapitalChat,http://rari.capital/
Augur,Rank #271,-,http://www.augur.net/
AVINOC,Rank #270,https://t.me/AVINOC,https://avinoc.com/
Pirate Chain,Rank #272,https://t.me/piratechain,https://pirate.black/
Coin98,Rank #273,https://t.me/coin98_wallet,https://www.coin98.com/
Biswap,Rank #274,https://t.me/biswap,https://biswap.org/
aelf,Rank #275,https://t.me/aelfblockchain,http://aelf.com/
StormX,Rank #276,https://t.me/stormxapp,https://stormx.io/
Metal,Rank #277,https://t.me/MetalPayCommunity,https://www.metalpay.com/
Revain,Rank #278,https://t.me/joinchat/CzZcC0PCgpJcbBCb3JfNeQ,https://revain.org/
Velas,Rank #279,https://t.me/VelasDevelopers,https://velas.com
Bifrost,Rank #280,https://t.me/Bifrostnotice,https://thebifrost.io/
VeThor Token,Rank #281,https://t.me/vechain_official_english,https://www.vechain.org/
Wrapped Velas,Rank #282,https://t.me/VelasDevelopers,https://velas.com
Perpetual Protocol,Rank #282,-,https://perp.com
Creditcoin,Rank #283,https://t.me/creditcoinctc,https://creditcoin.org
MobileCoin,Rank #285,-,https://mobilecoin.foundation/
Voyager Token,Rank #286,https://t.me/joinchat/H9SuYEmNirTJFHtMqtc70A,https://www.investvoyager.com/
NEST Protocol,Rank #287,https://t.me/nest_chat,https://nestprotocol.org/
Liquity,Rank #288,-,https://www.liquity.org/
Mdex,Rank #290,https://t.me/MdexEN,https://mdex.co
UFO Gaming,Rank #290,https://t.me/ufotokenofficial,https://www.ufogaming.io/
Boba Network,Rank #292,https://t.me/bobanetwork,https://boba.network/
FUNToken,Rank #292,https://t.me/officialFUNToken,https://funtoken.io/
WazirX,Rank #294,-,https://wazirx.com/
Seedify.fund,Rank #293,https://t.me/seedifyfundofficial,https://launchpad.seedify.fund/
Reef,Rank #295,https://t.me/reefchain,https://reef.io/
Origin Protocol,Rank #297,https://t.me/originprotocol,https://www.originprotocol.com
Yield Guild Games,Rank #297,-,https://yieldguild.io/
